Jersey Number,Bias,Years Experience,Home Fouls,Away Fouls,Home Variance,Away Variance,me Adjusted Fouls,ay Adjusted Foul,Bias,Total Adjusted
3,2,8,20.63888889,22.63888889,16.34182099,24.17515432,7.51E+00,9.27E+00,,
4,-1.5,13,22.17241379,20.86206897,18.60166468,10.34958383,8.65E+00,6.72E+00,,
5,1.228571429,8,19.8,21.02857143,15.05632653,16.44571429,6.27E+00,6.43E+00,,
6,1.272727273,16,19.6969697,20.96969697,16.271809,11.90817264,6.29E+00,6.94E+00,,
7,0.242424242,4,19.45454545,19.6969697,23.66574839,20.79338843,6.19E+00,6.75E+00,,
8,0.371428571,20,19.17142857,19.54285714,19.61959184,12.71346939,5.40E+00,4.92E+00,,
9,-0.482758621,30,20,19.51724138,15.35315101,17.79310345,6.55E+00,5.17E+00,,
10,0.470588235,31,19.23529412,19.70588235,14.14878893,13.76816609,6.02E+00,5.47E+00,,
11,1.032258065,17,19.32258065,20.35483871,19.58376691,20.08949011,5.96E+00,6.50E+00,,
12,-0.52,2,20.04166667,19.58333333,16.24305556,19.70659722,6.99E+00,6.84E+00,,
13,0.315789474,25,20,20.31578947,16.4265928,15.15789474,6.63E+00,6.33E+00,,
14,-0.575757576,16,18.48484848,17.90909091,21.53719008,10.6134068,5.18E+00,3.76E+00,,
15,0.862068966,15,18.55172414,19.4137931,22.58739596,23.0059453,5.02E+00,5.51E+00,,
16,0.333333333,13,21,21.33333333,16.02222222,15.86666667,8.12E+00,7.32E+00,,
17,1.166666667,1,20,21.16666667,18.05555556,29.33333333,6.70E+00,7.98E+00,,
18,-0.676470588,15,20.94117647,20.26470588,30.37110727,20.76124567,8.12E+00,6.84E+00,,
19,1.966666667,23,19.2,21.16666667,15.27222222,23.22666667,5.65E+00,6.46E+00,,
20,0.870967742,23,20.4516129,21.32258065,14.79916753,17.66701353,7.15E+00,7.86E+00,,
21,0.303030303,4,20.54545455,20.84848485,26.06795225,12.85399449,7.11E+00,7.73E+00,,
22,1.523809524,29,19.19047619,20.71428571,41.34693878,18.24943311,5.67E+00,6.67E+00,,
23,-2.25,18,22,19.75,36.6875,6.5,7.97E+00,4.55E+00,,
24,0.321428571,28,18.64285714,18.96428571,15.89158163,13.51530612,5.07E+00,4.42E+00,,
25,0.258064516,24,18.96774194,19.22580645,19.27159209,17.45057232,5.64E+00,5.61E+00,,
26,0.129032258,17,18.93548387,19.06451613,19.99583767,14.12486993,5.12E+00,4.77E+00,,
27,1.931034483,3,20.4137931,22.34482759,29.95005945,12.93222354,7.37E+00,9.89E+00,,
28,0.25,7,19.90625,20.15625,28.69433594,12.27246094,7.18E+00,7.15E+00,,
29,0.181818182,11,18.87878788,19.06060606,12.66299357,11.5610652,5.88E+00,5.24E+00,,
30,0.903225806,11,20.93548387,21.83870968,25.49011446,19.22164412,7.33E+00,6.95E+00,,
31,-1,23,20.77419355,19.77419355,14.56191467,18.6264308,7.56E+00,6.87E+00,,
32,0.387096774,9,20.125,20.625,13.171875,25.234375,7.16E+00,7.73E+00,,
33,1.5,23,20.45833333,21.95833333,21.20659722,11.74826389,6.99E+00,8.37E+00,,
34,0.676470588,8,19.02857143,19.8,29.70285714,21.34204082,6.14E+00,7.09E+00,,
