Player_Name,Assists,Blocks,DREB,FTA,FTM,OREB,PF,Points,Rebounds,Steals,Seconds_Played,Game_ID,Team_Name,isHome,Playing_Against
LeBron James,9,2,15,4,4,1,3,29,16,0,2472,0021700001,ClevelandCavaliers,True,BostonCeltics
Jae Crowder,2,0,4,4,4,1,2,11,5,2,2084,0021700001,ClevelandCavaliers,True,BostonCeltics
Kevin Love,0,0,8,7,6,3,2,15,11,0,1703,0021700001,ClevelandCavaliers,True,BostonCeltics
Dwyane Wade,3,2,1,2,2,1,1,8,2,0,1709,0021700001,ClevelandCavaliers,True,BostonCeltics
Derrick Rose,2,0,3,4,3,1,2,14,4,0,1875,0021700001,ClevelandCavaliers,True,BostonCeltics
Tristan Thompson,2,0,5,3,1,1,3,5,6,0,1176,0021700001,ClevelandCavaliers,True,BostonCeltics
JR Smith,1,0,4,1,1,0,4,10,4,0,1315,0021700001,ClevelandCavaliers,True,BostonCeltics
Iman Shumpert,0,0,1,0,0,1,3,4,2,1,771,0021700001,ClevelandCavaliers,True,BostonCeltics
Jeff Green,0,0,0,0,0,0,3,6,0,0,854,0021700001,ClevelandCavaliers,True,BostonCeltics
Kyle Korver,0,0,0,0,0,0,2,0,0,0,439,0021700001,ClevelandCavaliers,True,BostonCeltics
Jose Calderon,0,0,0,0,0,0,0,0,0,0,0,0021700001,ClevelandCavaliers,True,BostonCeltics
Channing Frye,0,0,0,0,0,0,0,0,0,0,0,0021700001,ClevelandCavaliers,True,BostonCeltics
Cedi Osman,0,0,0,0,0,0,0,0,0,0,0,0021700001,ClevelandCavaliers,True,BostonCeltics
John Holland,0,0,0,0,0,0,0,0,0,0,0,0021700001,ClevelandCavaliers,True,BostonCeltics
Isaiah Thomas,0,0,0,0,0,0,0,0,0,0,0,0021700001,ClevelandCavaliers,True,BostonCeltics
Ante Zizic,0,0,0,0,0,0,0,0,0,0,0,0021700001,ClevelandCavaliers,True,BostonCeltics
Gordon Hayward,0,0,1,0,0,0,1,2,1,0,315,0021700001,BostonCeltics,False,ClevelandCavaliers
Jayson Tatum,3,0,6,3,3,4,4,14,10,0,2192,0021700001,BostonCeltics,False,ClevelandCavaliers
Al Horford,5,1,7,7,5,0,2,9,7,0,1925,0021700001,BostonCeltics,False,ClevelandCavaliers
Jaylen Brown,0,0,5,2,1,1,5,25,6,2,2376,0021700001,BostonCeltics,False,ClevelandCavaliers
Kyrie Irving,10,0,2,2,2,2,4,22,4,3,2361,0021700001,BostonCeltics,False,ClevelandCavaliers
Marcus Smart,3,2,9,3,2,0,2,12,9,2,2103,0021700001,BostonCeltics,False,ClevelandCavaliers
Aron Baynes,1,1,3,4,2,2,5,6,5,0,1146,0021700001,BostonCeltics,False,ClevelandCavaliers
Terry Rozier,2,0,3,4,4,0,0,9,3,4,1172,0021700001,BostonCeltics,False,ClevelandCavaliers
Semi Ojeleye,0,0,0,0,0,0,1,0,0,0,519,0021700001,BostonCeltics,False,ClevelandCavaliers
Shane Larkin,0,0,1,0,0,0,0,0,1,0,289,0021700001,BostonCeltics,False,ClevelandCavaliers
Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,0021700001,BostonCeltics,False,ClevelandCavaliers
Daniel Theis,0,0,0,0,0,0,0,0,0,0,0,0021700001,BostonCeltics,False,ClevelandCavaliers
Kadeem Allen,0,0,0,0,0,0,0,0,0,0,0,0021700001,BostonCeltics,False,ClevelandCavaliers
Jabari Bird,0,0,0,0,0,0,0,0,0,0,0,0021700001,BostonCeltics,False,ClevelandCavaliers
Marcus Morris,0,0,0,0,0,0,0,0,0,0,0,0021700001,BostonCeltics,False,ClevelandCavaliers
