Ref num,76ers,Bucks,Bulls,Cavaliers,Celtics,Clippers,Grizzlies,Hawks,Heat,Hornets,Jazz,Kings,Knicks,Lakers,Magic,Mavericks,Nets,Nuggets,Pacers,Pelicans,Pistons,Raptors,Rockets,Spurs,Suns,Thunder,Timberwolves,Trail Blazers,Warriors,Wizards
3,0,6,1,0,2,1,1,1,2,0,0,1,1,1,0,1,0,0,3,0,0,1,5,0,2,0,0,0,1,1
4,0,3,1,4,1,0,7,1,0,5,0,5,0,0,1,1,1,1,2,0,4,2,1,0,1,2,0,0,1,0
5,0,0,0,2,4,2,0,1,0,0,0,1,2,1,0,2,5,1,0,0,2,0,2,0,1,3,0,0,0,0
6,0,0,1,2,0,1,3,0,0,1,0,0,2,0,0,3,1,0,0,1,1,1,2,1,0,1,0,0,0,1
7,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,6,1,1,2,1,5,3,1,0,0
8,0,3,2,1,0,3,0,1,2,0,1,0,7,2,0,0,0,2,1,0,1,1,4,1,1,2,0,2,1,0
9,0,0,2,1,1,2,0,0,2,2,0,6,2,0,0,0,0,1,5,2,0,2,1,1,0,0,0,0,2,0
10,0,0,0,2,0,3,0,0,1,0,1,2,1,1,0,0,0,2,0,3,0,1,1,0,1,1,1,1,1,0
11,0,5,0,1,0,0,4,0,1,3,0,2,1,0,0,0,1,3,1,3,0,0,0,0,1,4,1,1,3,1
13,2,1,0,0,0,3,0,1,0,0,0,4,0,0,0,2,0,0,2,2,1,2,0,0,2,2,0,0,7,2
14,0,2,0,0,4,4,0,1,4,0,3,4,1,2,0,1,0,0,0,3,0,2,3,0,1,3,0,0,0,0
15,0,7,0,0,4,1,1,0,1,6,0,8,2,0,0,1,2,1,2,1,1,1,2,0,2,4,1,1,1,2
16,1,1,0,0,0,0,1,1,2,0,0,7,0,1,0,0,0,0,0,2,9,1,2,0,1,1,3,0,1,1
17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,1,1,0,2,0,6,0,2,1,0,2,0,4,0,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,2
19,0,1,1,0,0,4,2,0,0,1,0,1,0,0,0,2,0,3,2,0,3,0,0,2,1,0,2,2,5,1
20,1,1,2,0,0,0,1,1,1,0,0,1,4,0,0,0,1,1,2,0,0,2,0,0,1,2,0,1,2,1
21,0,1,0,0,0,4,0,0,1,1,0,2,2,1,0,1,3,0,0,0,2,3,2,0,0,0,0,0,4,1
22,0,1,1,0,0,0,1,0,2,0,0,0,2,1,2,1,0,1,1,0,1,0,0,0,1,0,4,0,0,0
23,0,3,0,3,0,2,0,0,1,2,0,1,4,1,0,4,3,0,0,0,2,0,2,0,1,3,0,0,1,1
24,3,0,0,0,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,2,5,5,0,0,0,0,1,3
25,1,0,1,1,1,0,2,2,0,0,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,2,3,2,1,0
26,0,3,0,0,0,0,2,0,1,0,0,8,1,0,0,0,0,3,2,0,5,2,1,0,2,3,0,1,0,1
27,2,1,0,0,1,0,0,1,1,0,0,5,0,0,1,1,0,1,2,3,1,2,1,0,1,2,0,1,7,2
28,1,0,2,2,0,1,2,0,2,0,0,3,4,0,0,3,0,0,2,2,3,2,1,0,1,2,2,0,0,2
29,1,0,0,0,1,2,1,0,5,0,0,1,0,0,4,1,1,0,2,3,1,1,1,0,3,1,0,0,0,1
30,3,2,0,0,0,2,1,2,2,2,0,1,3,2,2,3,0,0,1,0,1,1,2,3,2,1,0,2,1,0
31,3,0,1,0,1,1,3,0,1,2,0,5,0,1,3,1,0,1,0,0,3,2,1,0,0,0,0,1,0,0
32,0,0,0,0,2,1,3,2,2,2,0,5,2,1,0,0,0,0,3,8,3,2,1,0,1,1,1,0,0,0
33,0,3,1,0,1,5,1,0,2,5,2,1,0,0,5,4,0,0,1,2,4,5,2,1,1,0,2,1,0,0
34,0,2,1,0,0,2,0,0,0,0,0,11,2,0,0,0,0,1,4,0,0,0,2,1,2,0,2,0,1,0
35,1,1,1,0,0,0,1,0,1,2,1,1,1,1,0,1,0,1,2,0,1,1,0,0,0,0,0,1,1,1
36,0,2,0,0,1,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,0,1,1,0,3,0,2,0,1
37,2,2,0,0,1,5,4,0,4,3,0,0,0,1,3,3,0,1,0,0,0,1,0,0,1,0,0,1,1,1
38,0,2,0,0,0,3,1,0,2,0,0,0,0,0,2,3,0,0,0,1,0,2,4,1,1,0,2,0,0,0
39,2,0,0,1,4,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,5,1,0,1,1,0,1,2
40,0,1,0,0,0,6,0,2,0,0,2,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,5,1
41,1,0,0,1,0,1,3,0,0,0,0,6,0,1,0,0,0,0,2,7,1,3,2,1,2,0,1,0,0,0
42,2,0,1,0,2,0,0,0,0,0,0,0,3,1,2,0,1,2,0,0,0,2,1,4,0,1,1,1,2,1
43,0,1,2,0,1,8,0,0,0,1,0,1,0,0,0,1,0,1,0,0,7,1,1,1,1,3,1,0,2,1
44,1,6,1,0,4,1,1,1,0,2,0,2,0,0,0,2,1,0,0,0,1,0,5,0,4,3,0,0,1,0
